employee_id,employee_name,hire_date,termination_date,base_salary,position,access_permission,password,password_answer,department_id,team_id
19990006,김영진,1999-07-12,,180000000,GENERAL_MANAGER,ROLE_USER,1234,라면,,
20000001,강예지,2000-08-17,,160000000,DEPARTMENT_HEAD,ROLE_USER,1234,라면,STRATEGY_DEPT,
20030001,홍은주,2003-06-11,,140000000,TEAM_LEADER,ROLE_USER,1234,라면,STRATEGY_DEPT,STRATEGY_CUST_SECTOR
20020001,이명자,2002-07-29,,120000000,ASSISTANT_MANAGER,ROLE_USER,1234,라면,STRATEGY_DEPT,STRATEGY_CUST_SECTOR
20140001,이지은,2014-08-20,,100000000,MANAGER,ROLE_USER,1234,라면,STRATEGY_DEPT,STRATEGY_CUST_SECTOR
20110001,박지연,2011-11-01,,100000000,MANAGER,ROLE_USER,1234,라면,STRATEGY_DEPT,STRATEGY_CUST_SECTOR
20120001,양재호,2012-10-30,,75000000,ASSOCIATE,ROLE_USER,1234,라면,STRATEGY_DEPT,STRATEGY_CUST_SECTOR
20130001,김서연,2013-03-12,,75000000,ASSOCIATE,ROLE_USER,1234,라면,STRATEGY_DEPT,STRATEGY_CUST_SECTOR
20230001,김은서,2023-05-09,,60000000,JUNIOR,ROLE_USER,1234,라면,STRATEGY_DEPT,STRATEGY_CUST_SECTOR
20220001,박현지,2022-09-14,,50000000,STAFF,ROLE_USER,1234,라면,STRATEGY_DEPT,STRATEGY_CUST_SECTOR
20030002,오순옥,2003-02-07,,140000000,TEAM_LEADER,ROLE_USER,1234,라면,STRATEGY_DEPT,STRATEGY_CUST_1
20030003,최승현,2003-11-10,,120000000,ASSISTANT_MANAGER,ROLE_USER,1234,라면,STRATEGY_DEPT,STRATEGY_CUST_1
20130002,서춘자,2013-12-13,,100000000,MANAGER,ROLE_USER,1234,라면,STRATEGY_DEPT,STRATEGY_CUST_1
20140002,신서연,2014-05-29,,100000000,MANAGER,ROLE_USER,1234,라면,STRATEGY_DEPT,STRATEGY_CUST_1
20120002,박선영,2012-04-03,,75000000,ASSOCIATE,ROLE_USER,1234,라면,STRATEGY_DEPT,STRATEGY_CUST_1
20140003,고미숙,2014-05-30,,75000000,ASSOCIATE,ROLE_USER,1234,라면,STRATEGY_DEPT,STRATEGY_CUST_1
20210001,김예지,2021-12-07,,60000000,JUNIOR,ROLE_USER,1234,라면,STRATEGY_DEPT,STRATEGY_CUST_1
20150001,서서영,2015-11-04,,50000000,STAFF,ROLE_USER,1234,라면,STRATEGY_DEPT,STRATEGY_CUST_1
20030004,이시우,2003-06-25,,140000000,TEAM_LEADER,ROLE_USER,1234,라면,STRATEGY_DEPT,STRATEGY_CUST_2
20030005,배영진,2003-08-01,,120000000,ASSISTANT_MANAGER,ROLE_USER,1234,라면,STRATEGY_DEPT,STRATEGY_CUST_2
20100001,최지훈,2010-04-14,,100000000,MANAGER,ROLE_USER,1234,라면,STRATEGY_DEPT,STRATEGY_CUST_2
20130003,김수빈,2013-09-16,,100000000,MANAGER,ROLE_USER,1234,라면,STRATEGY_DEPT,STRATEGY_CUST_2
20140004,양건우,2014-01-24,,75000000,ASSOCIATE,ROLE_USER,1234,라면,STRATEGY_DEPT,STRATEGY_CUST_2
20140005,황하윤,2014-08-12,,75000000,ASSOCIATE,ROLE_USER,1234,라면,STRATEGY_DEPT,STRATEGY_CUST_2
20200001,강재호,2020-12-09,,60000000,JUNIOR,ROLE_USER,1234,라면,STRATEGY_DEPT,STRATEGY_CUST_2
20210002,박현정,2021-12-31,,50000000,STAFF,ROLE_USER,1234,라면,STRATEGY_DEPT,STRATEGY_CUST_2
20000002,이성훈,2000-04-10,,160000000,DEPARTMENT_HEAD,ROLE_USER,1234,라면,PUBLIC_DEPT,
20040001,김수진,2004-11-22,,140000000,TEAM_LEADER,ROLE_USER,1234,라면,PUBLIC_DEPT,PUBLIC_CUST_SECTOR
20030006,이준혁,2003-02-19,,120000000,ASSISTANT_MANAGER,ROLE_USER,1234,라면,PUBLIC_DEPT,PUBLIC_CUST_SECTOR
20110002,양예지,2011-03-04,,100000000,MANAGER,ROLE_USER,1234,라면,PUBLIC_DEPT,PUBLIC_CUST_SECTOR
20140006,최재현,2014-02-20,,100000000,MANAGER,ROLE_USER,1234,라면,PUBLIC_DEPT,PUBLIC_CUST_SECTOR
20110003,문민지,2011-12-08,,75000000,ASSOCIATE,ROLE_USER,1234,라면,PUBLIC_DEPT,PUBLIC_CUST_SECTOR
20100002,한영환,2010-11-22,,75000000,ASSOCIATE,ROLE_USER,1234,라면,PUBLIC_DEPT,PUBLIC_CUST_SECTOR
20150002,박미영,2015-11-04,,60000000,JUNIOR,ROLE_USER,1234,라면,PUBLIC_DEPT,PUBLIC_CUST_SECTOR
20160001,김도윤,2016-04-14,,50000000,STAFF,ROLE_USER,1234,라면,PUBLIC_DEPT,PUBLIC_CUST_SECTOR
20030007,김성현,2003-12-31,,140000000,TEAM_LEADER,ROLE_USER,1234,라면,PUBLIC_DEPT,PUBLIC_CUST_1
20040002,이영식,2004-12-21,,120000000,ASSISTANT_MANAGER,ROLE_USER,1234,라면,PUBLIC_DEPT,PUBLIC_CUST_1
20140007,이예진,2014-12-16,,100000000,MANAGER,ROLE_USER,1234,라면,PUBLIC_DEPT,PUBLIC_CUST_1
20130004,최수민,2013-06-12,,100000000,MANAGER,ROLE_USER,1234,라면,PUBLIC_DEPT,PUBLIC_CUST_1
20130005,지지후,2013-09-25,,75000000,ASSOCIATE,ROLE_USER,1234,라면,PUBLIC_DEPT,PUBLIC_CUST_1
20110004,한채원,2011-05-18,,75000000,ASSOCIATE,ROLE_USER,1234,라면,PUBLIC_DEPT,PUBLIC_CUST_1
20170001,박영수,2017-06-22,,60000000,JUNIOR,ROLE_USER,1234,라면,PUBLIC_DEPT,PUBLIC_CUST_1
20160002,박정자,2016-12-22,,50000000,STAFF,ROLE_USER,1234,라면,PUBLIC_DEPT,PUBLIC_CUST_1
20020002,오혜진,2002-11-07,,140000000,TEAM_LEADER,ROLE_USER,1234,라면,PUBLIC_DEPT,PUBLIC_CUST_2
20040003,김정순,2004-01-08,,120000000,ASSISTANT_MANAGER,ROLE_USER,1234,라면,PUBLIC_DEPT,PUBLIC_CUST_2
20130006,남상훈,2013-10-22,,100000000,MANAGER,ROLE_USER,1234,라면,PUBLIC_DEPT,PUBLIC_CUST_2
20140008,김상훈,2014-06-24,,100000000,MANAGER,ROLE_USER,1234,라면,PUBLIC_DEPT,PUBLIC_CUST_2
20120003,김재현,2012-10-22,,75000000,ASSOCIATE,ROLE_USER,1234,라면,PUBLIC_DEPT,PUBLIC_CUST_2
20110005,박재호,2011-11-29,,75000000,ASSOCIATE,ROLE_USER,1234,라면,PUBLIC_DEPT,PUBLIC_CUST_2
20220002,박성훈,2022-02-08,,60000000,JUNIOR,ROLE_USER,1234,라면,PUBLIC_DEPT,PUBLIC_CUST_2
20160003,이진우,2016-01-19,,50000000,STAFF,ROLE_USER,1234,라면,PUBLIC_DEPT,PUBLIC_CUST_2
20000003,김정식,2000-01-05,,160000000,DEPARTMENT_HEAD,ROLE_USER,1234,라면,FINANCE_DEPT,
20040004,최민석,2004-05-28,,140000000,TEAM_LEADER,ROLE_USER,1234,라면,FINANCE_DEPT,FINANCE_CUST_SECTOR
20040005,장상호,2004-03-25,,120000000,ASSISTANT_MANAGER,ROLE_USER,1234,라면,FINANCE_DEPT,FINANCE_CUST_SECTOR
20130007,안민수,2013-05-01,,100000000,MANAGER,ROLE_USER,1234,라면,FINANCE_DEPT,FINANCE_CUST_SECTOR
20110006,홍현주,2011-12-20,,100000000,MANAGER,ROLE_USER,1234,라면,FINANCE_DEPT,FINANCE_CUST_SECTOR
20130008,김성현,2013-12-16,,75000000,ASSOCIATE,ROLE_USER,1234,라면,FINANCE_DEPT,FINANCE_CUST_SECTOR
20120004,주미정,2012-04-25,,75000000,ASSOCIATE,ROLE_USER,1234,라면,FINANCE_DEPT,FINANCE_CUST_SECTOR
20150003,김성진,2015-05-28,,60000000,JUNIOR,ROLE_USER,1234,라면,FINANCE_DEPT,FINANCE_CUST_SECTOR
